Name,HalfYearly Avg Input Performance,HalfYearly Avg Output Performance,Quaterly Avg Input Performance,Half Yearly Avg Performance Data,Weekly Avg Input Performance,Weekly Avg Output Performance,Weekly Avg Performance Data,Weekly A Cnt Crossed 70,Weekly A END Max IN Usage Value,Weekly A END Max Out Usage Value,Weekly Max Input Performance Data,Weekly Max Output Performance Data,Weekly Performance Data,Weekly Z Cnt Crossed 70,Weekly Z END Max IN Usage Value,Weekly Z END Max Out Usage Value,Z Device,Warranty expiration,Quarterly Avg Performance Data,Quarterly Performance Data,A PoP,Z PoP,Provider,LMS_ID,LINK_STATUS,Vendor,Class,AConnectingInterface,ZConnectingInterface,Bandwidth,Bandwidth Units,Provider Circuit ID,Updated,A Radio [Sify_DataLinks_AirBackhaul],Z Radio [Sify_DataLinks_AirBackhaul],Provider Ring Implementation [Sify_DataLinks_Fiber],Description -1,Description,A Device,A END Max IN Usage Value,A END Max Out usage Value,A cnt crossed 70,Acceptance Test Results,Alias name,Approval group,Asset,Asset tag,Assigned,Assigned to,Attestation Score,Attestation Status,Attested,Attested By,Attested Date,Attributes,Avg Input Performance,Avg Output Performance,Avg Performance Data,BAND_WIDTH_REQ_NUM,Business Unit,CIRCUIT_ID,CPM_COMMENTS,Can Print,Category,Change Group,Checked in,Checked out,Circuit Name,Comments,Commissioned Date,Company,Core Data Center,Correlation ID,Cost,Cost center,Cost currency,Created,Created by,DNS Domain,DOC,DOC Date,Department,Discovery source,Domain,Domain Path,Due,Due in,Duplicate Of,Environment,External Asset Account,External Asset ID,FROM_LOCATION,Fault count,First discovered,Fully qualified domain name,GL account,Half Yearly A Cnt Crossed 70,Half Yearly Performance Data,Half Yearly Z Cnt Crossed 70,Halfyearly A END Max IN Usage Value,Halfyearly A END Max Out Usage Value,Halfyearly Max Input Performance Data,Halfyearly Max Output Performance Data,Halfyearly Z END Max IN Usage Value,Halfyearly Z END Max Out Usage Value,Host Macro Id,IP Address,ITEM_DESC,Install Status,Installed,Invoice number,Justification,KM,LINK_TYPE,LINK_TYPE_DESC,Lease contract,Life Cycle Stage,Life Cycle Stage Status,Link Description,Link ID,Location,MAC Address,Maintenance schedule,Managed By Group,Managed by,Managed domain,Manufacturer,Max Input Performance Data,Max Output Performance Data,Model ID,Model number,Monitor,Most recent discovery,OT device details,Operational status,Order received,Ordered,Owned by,PO number,PO_CLASSIFICATION,PO_END_DATE,PO_NO1,PO_NO1_DATE,PO_NO2,PO_NO2_DATE,Performance Data,Product instance identifier,Purchased,Quaterly A Cnt Crossed 70,Quaterly A END Max IN Usage Value,Quaterly A END Max Out Usage Value,Quaterly Avg Output Performance,Quaterly Max Input Performance Data,Quaterly Max Output Performance Data,Quaterly Z Cnt Crossed 70,Quaterly Z END Max IN Usage Value,Quaterly Z END Max Out Usage Value,Removal Comments,Removal Date,Requires verification,SL1 ID,SL1 Monitored,SL1 Region,SL1 URL,Schedule,Serial number,Service,Service Category,Skip sync,Start date,Subcategory,Subscription ID,Support Vendor Name,Support Vendor PO Number,Support group,Supported by,Sys class path,TOTAL_DISTANCE,TO_LOCATION,Tags,Type,Updated by,Updates,Vendor_Name,Z END Max IN Usage Value,Z END Max Out usage Value,Z cnt crossed 70,zCorrelation ID
MUM-DEL NLD_Ambazari Butibori-WardhaII_AIR-ITR P2,"{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""lmsid"":""25003/25005/25007"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""lmsid"":""25003/25005/25007"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""lmsid"":""25003/25005/25007""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""lmsid"":""25003/25005/25007""}",,,,,,,,,MH-WRD-WRR,MH-NGP-AMW,,25003/25005/25007,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,25-11-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_Pusad-Tower-121 Rupur_AIR-ITR P2"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17468086,,,,,/!!/$V/!+/!!,,,,,admin,169,"48056-MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED-PRAKSHGANAGA, MSETCL C-19,,E-BLOCK, BANDRA KURLA COMPLEX,,BANDRA EAST,,MUMBAI,Maharashtra,400079,IN-MUMBAI",,,,
Mumbai Metro_BKC-Vashi,"{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""lmsid"":""21894"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""lmsid"":""21894"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""jan2026value"":0}",,,,,,,,"{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""lmsid"":""21894""}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""lmsid"":""21894""}",,,,,,,,,MH-MUM-BCF,MH-MUM-VSH,,21894,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,23-10-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""jan2026value"":0}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""jan2026value"":0}","{""name"":""Mumbai Ciena_BKC to Santacruz_21894"",""jan2026value"":0}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17003348,,,,,/!!/$V/!+/!!,,,,,admin,252,REVMAX,,,,
Pune_AWS_Webworks-Nextra_Secondary path,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}",,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112""}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112""}",,,,,,,,,MH-PUN-WWP,MH-PUN-NXH,,23112,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,23-06-2024 23:00,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}",,,,,,-101,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}",,,,,,FALSE,,FALSE,,,,,,,FALSE,,,SID10268729,,,,,/!!/$V/!+/!!,,,,,admin,1635,DINESH ENGINEERS LTD,,,,
Pune_AWS_Webworks-Nextra_Primary path,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}",,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112""}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""lmsid"":""23112""}",,,,,,,,,MH-PUN-WWP,MH-PUN-NXH,,23112,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,23-06-2024 23:00,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""oct2025value"":0,""nov2025value"":0,""dec2025value"":0,""jan2026value"":0}",,,,,,-101,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}","{""name"":""Pune_AWS_Webworks-Nextra_Secondary path"",""jan2026value"":0}",,,,,,FALSE,,FALSE,,,,,,,FALSE,,,SID10268728,,,,,/!!/$V/!+/!!,,,,,admin,1633,DINESH ENGINEERS LTD,,,,
Mumbai Metro_Enterprise-Versova,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}",,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0""}",,,,,,,,,MH-MUM-VSA,MH-MUM-ENT,,0,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,27-09-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID16905556,,,,,/!!/$V/!+/!!,,,,,admin,348,Under planning stage,,,,
MUM-HYD NLD_Nanded-Rita_P2,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}",,,,,,,,,MH-NND-ZRY,MH-NND-ROE,,na,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,26-11-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17470707,,,,,/!!/$V/!+/!!,,,,,admin,167,MTCIL,,,,
Mumbai Ciena_Enterprise-Versova,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}",,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""lmsid"":""0""}",,,,,221.134.254.227,,,,MH-MUM-VSA,MH-MUM-ENT,,0,,,Sify_Optical_Fiber_Ciena,Bundle-Ether50,GigabitEthernet0/0/12,,,,06-02-2026 08:01,,,FALSE,,,210.18.13.167,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,14-04-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-101,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}","{""name"":""Mumbai Ciena_Enterprise-Versova"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID15166863,,,,,/!!/$V/!+/!!,,,,,admin,745,Under planning stage,,,,
MUM-HYD NLD_ Apta - Chinchwad _P1_Sec,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}",,,,,,,,,MH-RAD-RYI,MH-PUN-CSW,,na,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,06-12-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17524130,,,,,/!!/$V/!+/!!,,,,,admin,203,MTCIL,,,,
MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_Sec,"{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""lmsid"":""25001/23437"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""lmsid"":""25001/23437"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""lmsid"":""25001/23437""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""lmsid"":""25001/23437""}",,,,,,,,,MH-TAN-DYG,MH-MUM-AIR,,25001/23437,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,06-12-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""jan2026value"":""""}","{""name"":""MUM-DEL NLD_SIFY Airoli-NTT Airoli_AIR-ITR P1_P1S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17524127,,,,,/!!/$V/!+/!!,,,,,admin,141,"48056-MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED-PRAKSHGANAGA, MSETCL C-19,,E-BLOCK, BANDRA KURLA COMPLEX,,BANDRA EAST,,MUMBAI,Maharashtra,400079,IN-MUMBAI",,,,
MUM-HYD NLD_Lonad-T269 Colo_P2,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}",,,,,,,,,MH-STR-KYW,MH-STR-AWN,,na,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,26-11-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17470691,,,,,/!!/$V/!+/!!,,,,,admin,167,MTCIL,,,,
MUM-HYD NLD_Chinchwad-Dighi_P2_Sec,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}",,,,,,,,,MH-PUN-TPF,MH-PUN-CSW,,na,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,06-12-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17524136,,,,,/!!/$V/!+/!!,,,,,admin,203,MTCIL,,,,
MUM-HYD NLD_Chinchwad-Dighi_P2_Pri,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""lmsid"":""na""}",,,,,,,,,MH-PUN-TPF,MH-PUN-CSW,,na,,,Sify_Optical_Fiber_Ciena,,,,,,06-02-2026 08:01,,,FALSE,,,,,,,,,,,,,,,Not Yet Reviewed,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,USD,06-12-2025 23:10,admin,,,,,,TOP/CSM,!!!/!!)/,,,,,,,,0,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""oct2025value"":"""",""nov2025value"":"""",""dec2025value"":"""",""jan2026value"":""""}",,,,,,-11,,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,"{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}","{""name"":""MUM-HYD NLD_Rita-Bhaisna_P2_P2S"",""jan2026value"":""""}",,,,,,FALSE,,FALSE,,,,,Data Center & Managed Services,Sify DC,FALSE,,,SID17524134,,,,,/!!/$V/!+/!!,,,,,admin,203,MTCIL,,,,
